序号,分类,菜名,文件名(id),卡路里,减脂,主要食材,简介
"73","西式","鲜虾芦笋炒口蘑","asparagus-shrimp-mushroom","310","","芦笋/虾/蘑菇","清爽鲜甜，颜值与口感并存。"
"74","西式","香煎芦笋培根","asparagus-bacon","450","","芦笋/培根","培根裹芦笋，咸香多汁。"
"75","西式","法式牛油果烘蛋","avocado-frittata","430","","牛油果/鸡蛋/奶酪","松软蛋饼配绵密牛油果，早午餐首选。"
"76","西式","培根煎蛋三明治","bacon-egg-sandwich","700","","面包/培根/鸡蛋","流心煎蛋加脆培根，元气早餐。"
"77","西式","黑胡椒牛肉饭","pepper-beef-rice","580","","牛肉/米饭/洋葱/青椒","黑椒浓香，一碗盖饭超满足。"
"78","西式","三文鱼菌菇焖饭","salmon-mushroom-rice","640","","三文鱼/蘑菇/米饭","一锅焖出的鲜香，米粒油亮。"
"79","西式","地中海柠檬烤鱼","med-lemon-fish","330","","鱼/柠檬/番茄","柠檬清香配烤番茄，清爽无负担。"
"80","西式","法式杂菌炖鸡","french-mushroom-chicken","390","","鸡肉/蘑菇/香菇","多种菌菇的浓郁，暖到心里。"
"81","西式","法式奶油菌菇炖鸡","cream-mushroom-chicken-fr","570","","鸡肉/蘑菇/香菇/牛奶","奶香裹菌菇，法式家常的温柔。"
"82","西式","蒜香柠檬三文鱼","garlic-lemon-salmon","400","","三文鱼/柠檬","蒜香柠檬提鲜，外焦里嫩。"
"83","西式","普罗旺斯炖菜","ratatouille","280","","茄子/西葫芦/番茄/青椒/洋葱","满满时蔬慢炖，酸甜清爽。"
"84","西式","培根香葱奶酪贝果","bacon-cheese-bagel","550","","贝果/培根/奶酪","烘到拉丝，咸香又管饱。"
"85","西式","日式土豆泥沙拉","jp-potato-salad","230","","土豆/鸡蛋/黄瓜/胡萝卜","绵密微酸，便当常备。"
"86","西式","葡萄牙烤章鱼","pt-octopus","270","","章鱼/土豆","外焦里弹，海边风味。"
"87","西式","日式滑蛋猪排饭","katsudon","450","","猪排/鸡蛋/米饭/洋葱","酥脆猪排裹滑蛋，盖在饭上。"
"88","西式","罗宋汤","borscht","430","","牛肉/番茄/土豆/白菜/胡萝卜","酸甜浓郁，一碗顶一餐。"
"89","西式","奶油蘑菇汤","cream-mushroom-soup","300","","蘑菇/牛奶","顺滑浓香，配面包绝配。"
"90","西式","苹果炖猪扒","apple-pork","190","","猪排/苹果/洋葱","果香微甜，肉质软嫩。"
"91","西式","菠萝干煎鸡","pineapple-chicken","320","","鸡肉/菠萝/青椒","酸甜多汁，热带风味。"
"92","西式","三文鱼牛油果三明治","salmon-avocado-sandwich","510","","面包/三文鱼/牛油果","高蛋白好脂肪，健康又满足。"
"93","意大利","番茄肉酱意面","tomato-pasta","800","","意面/番茄/牛肉/洋葱","经典意式，酸甜浓郁裹满面条。"
"94","意大利","培根蛋黄意面","carbonara","930","","意面/培根/鸡蛋/奶酪","不加奶油的正宗做法，浓香顺滑。"
"95","意大利","蒜香辣味意面","aglio-olio","450","","意面","四样材料，深夜也能快手做。"
"96","西班牙","西班牙土豆蛋饼","spanish-omelette","340","","土豆/鸡蛋/洋葱","厚实绵软，冷热都好吃。"
"97","西班牙","西班牙蒜香虾","gambas-ajillo","220","","虾","橄榄油浸出的蒜香，蘸面包绝配。"
"98","西班牙","简易西班牙海鲜饭","paella","600","","米饭/虾/蛤蜊/青椒/洋葱","一锅金黄海味，聚餐撑场面。"
"99","减脂餐","牛油果蔬菜沙拉","avocado-salad","150","是","牛油果/生菜/番茄","清爽饱腹，好脂肪低负担。"
"100","减脂餐","香煎低脂鸡胸","light-chicken","280","是","鸡肉/柠檬","高蛋白低脂，健身党的主力菜。"
"101","减脂餐","西兰花炒虾仁","shrimp-broccoli","230","是","西兰花/虾","低卡高蛋白，颜值也在线。"
"102","减脂餐","番茄龙利鱼","steam-fish-tomato","210","是","鱼/番茄","酸甜开胃，几乎零负担。"
"103","减脂餐","鸡胸时蔬","chicken-veg","340","是","鸡肉/西兰花/胡萝卜","一盘搞定的减脂正餐。"
"104","减脂餐","鸡蛋蔬菜沙拉","egg-salad","180","是","鸡蛋/生菜/番茄","清爽饱腹，五分钟备好。"
"105","减脂餐","白灼西兰花","blanched-broccoli","40","是","西兰花","最省事的减脂配菜。"
"106","减脂餐","豆腐蔬菜汤","tofu-veg-soup","140","是","豆腐/白菜/蘑菇","暖胃低卡，越喝越轻盈。"
"107","减脂餐","燕麦牛奶","oat-milk","220","是","牛奶/香蕉","高纤饱腹的减脂早餐。"
"108","饮品","热红酒","redwine-drink","210","","橙子/苹果","冬夜暖身，满屋果香与酒香。"
"109","饮品","蜂蜜柠檬气泡饮","lemon-soda","70","","柠檬","清爽解腻，和重口味菜尤其搭。"
"110","饮品","焦糖热奶茶","milk-tea","160","","牛奶","不用出门也能做的温柔甜饮。"
"111","饮品","鲜草莓牛奶","strawberry-milk","200","","草莓/牛奶","粉粉嫩嫩，果肉感十足。"
"112","饮品","香蕉奶昔","banana-shake","250","","香蕉/牛奶","香浓顺滑，早餐或加餐都好。"
"113","饮品","鲜榨橙汁","orange-juice","60","","橙子","满满维C，元气一整天。"
"114","饮品","桂香热苹果茶","apple-tea","110","","苹果","热乎乎的果香，秋冬暖身。"
